COMMUNITY,GENDER,P1_SCORE,P2_SCORE,P3_SCORE,TOTAL,REGNO,APPLICATION_NO
MBC/DC,Female,122.75,87.25,100.75,310.75,82CF9119BB90DBCA5B15F6D27D9F08B9,453A4D9FA6A8D2DE123A90F700FCE8BF
BC,Female,131.5,99,123.25,353.75,1A64CFCB08C5E4D44DB5CBFA5A01B39B,F363EFFFFE857345DC362BC795843762
MBC/DC,Male,112,81.5,81.75,275.25,D6A989E0DC7C182A49730CCB256A6B11,6859FBD937A3F39A483C95BCF79DC8E2
SC,Male,127,99.25,104,330.25,E766E049D962DBC7C590ED82A238EFE7,E94EA55443079CE02E0C995658EECF26
MBC/DC,Male,80.25,79.5,73.75,233.5,083E20883F79BD5D254200AB9FADC1EA,BECE77E4BAB867A73D25F4A5EFB10EF6
BC,Female,127,117,107.5,351.5,F74028C7CDFDB05EB5EB6A3D2129B340,59B1094069492E7E8BCE92128743EC33
MBC/DC,Female,71,69.25,64.5,204.75,26E428C2C1ACD9B4E1A6E71E97A2712D,A987B00F06B4B4CE1D8A6DE8D15AF43D
BC,Male,122.25,63.25,51,236.5,6B0A4F2D0F259C75ABB59F0E362AB731,78699655A75BC83677DA7D92D1854E82
MBC/DC,Male,72.5,29.5,,102,501E3477D625C2E0D953AB624061CCE5,5CF9BF0EB2933A95C5262425830BCA31
BC,Male,164.5,138.25,129.5,432.25,E2E8720808511997CA7AE22A90FDF33A,9BB8C54DB4AACE63F5B292705D2CA186
MBC/DC,Female,144,99,119.5,362.5,B3B8402E93C02CFB5A455080DCEC343E,317FF9ED13DCDF8827431AFF32F5A83D
BC,Male,155.75,130.75,121.25,407.75,1B27ED7C8849D9E579158173E038D784,AEADA85A118B2FA3CAC84145C57CF485
MBC/DC,Female,126,81.5,67.25,274.75,B677AE6F0AC421FD7F73623A207F84FF,F6E7C2334D1D8BED35625436A158CF15
MBC/DC,Male,144.25,103.5,111.5,359.25,E55E4CB30C1E2E03C06C4988D4880A05,927958027DF6BE3C699B72BC9D0B7C1A
BC,Male,137.75,125.75,109,372.5,A316DA93ABD69658E343AFCC095D75E0,BA23CDCC01C8E8A9D8D5330932A5C837
MBC/DC,Male,118.5,116.75,115,350.25,B45108106E6F340F1A9EC50C069942EB,8101276D66D2F7BE9CEF8BF5D4EAAF55
MBC/DC,Male,154,110.25,118.5,382.75,D6FF3142AAD0264FC3AF75875B94062A,B01D47EA1163D28E010F163491F7FAA0
BC,Male,82.5,52.5,47.75,182.75,3653006A5CA5EC60F6544E7B6A87CC6A,753CDBD42A01306CD7B4EF0FBE936FC4
