NAME OF THE POST ,RANK(OVER ALL),MARKS ,GENDER,DATE OF BIRTH,RELIGION,COMMUNAL CATEGORY,DISABILITY,EXSERVICEMEN,DW,PSTM,SSLC YOP,HSC YOP,DIPLOMA YOP,DIPLOMA MAJOR,UG DEG YOP,UG DEG,UG MAJOR,UGL DEGEE,UGL MAJOR,BED/BLISC YOP,PG DEGREE YOP,PG DEGREE,PG MAJOR,MPHIL YOP,MPHIL MAJOR,PHD YOP,PHD MAJOR,TWT,TWE,SHT,SHE,EXPERIENCE,PREFERNTIAL QUALIFICATION ,QUALIFICATION PASSED IN TAMIL,EXAM CENTER,EXAM VENUE DETAILS ,DISTRICT AND STATE OF PERMANENT ADDRESS,DISTRICT AND STATE OF CORRESPONDENCE ADDRESS,COMMUNAL RANK,DISABILITY RANK,EXSERVICEMEN RANK ,DW RANK,SELECTION STATUS ,SELECTION CATEGORY,DEPARTMENT ALLOTTED,REGNO,APPLICATION_NO
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,1,569,FEMALE,1989,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2004,2009,NULL,NULL,2010,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"EVAANS MATRIC HIGHER SECONDARY SCHOOL,18 MARIAMMAN KOIL STREET,THARAMANI CHENNAI","Sivagangai,Tamil Nadu","Sivagangai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 1/4,NULL,D89EE8130066B77DFF77135E1E96ACD7,CF8FDC36BDC2F91FBE7DD476D81D7D30
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,2,550,FEMALE,1997,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2012,2014,NULL,NULL,2018,B.Sc.,Agriculture,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"VALLIAMMAL MATRIC HIGHER SECONDARY SCHOOL,F-40 1ST MAIN ROAD,ANNANAGAR EAST CHENNAI","Dindigul,Tamil Nadu","Dindigul,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 2/4,NULL,6F9F0A84363F3A6C57F011ABA1858582,47C2462B073C113D70A1E48F23968252
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,3,548.5,FEMALE,1987,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2002,2004,NULL,NULL,2008,B.TECH.,Information Technology ,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"SINGARAMPILLAI GIRLS HIGHER SECONDARY SCHOOL,NO.1 MOUNASAMY MADAM STREET,VILLIVAKKAM CHENNAI","Cuddalore,Tamil Nadu","Cuddalore,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 3/4,NULL,CDECEAD8E492116C082B92E5F0F40E5B,5640C188CC667A35D263785BCE9C2B9C
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,4,547,FEMALE,1994,Hindu,MBC/DC,NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.TECH.,Bio technology,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"DR. RATHINAVEL SUBRMANIAM MUTHIALPET GIRLS HSS,LINGI CHETTY STREET,CHENNAI","Virudhunagar,Tamil Nadu","Virudhunagar,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_G- 4/4,NULL,3791FB240F90433EE040BD7E7B0B16B9,4917FE8FF0361447536AD8F5FA60D99D
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,5,541,FEMALE,1994,Muslim,BCM,NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,3 BHARATHIDASAN SALAI,THIRUVANMIYUR CHENNAI","Cuddalore,Tamil Nadu","Cuddalore,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 1/3,NULL,F2C410B4F6924D2A7E3CE318A1CFB027,7F29102ABFDA27B7DDD7B62F9FAFDBB4
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,6,540.5,FEMALE,1994,Christian,BC(OBCM),NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.E.,Computer Science and Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"VALLIAMMAL MATRIC HIGHER SECONDARY SCHOOL,F-40 1ST MAIN ROAD,ANNANAGAR EAST CHENNAI","Chennai,Tamil Nadu","Chennai,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 2/3,NULL,B91D2071498F50F06093078FDA8417A1,5A31EC6132200996E505B805F7D2B3E4
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,7,539.5,FEMALE,1996,Muslim,BCM,NULL,NULL,NULL,NULL,2011,2013,NULL,NULL,2017,B.E.,CIVIL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"MOHAMED SATHAK MATRIC HIGHER SECONDARY SCHOOL,A-2A MMDA COLONY,ARUMBAKKAM CHENNAI","Thiruvallur,Tamil Nadu","Thiruvallur,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,GT_W- 3/3,NULL,6A56909BB70100AE8FF6C7C8635C971E,810CB5ECDCC96C2644FEBA416BBEC4F6
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,8,539,FEMALE,1993,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.E.,ELECTRONICS AND COMMUNICATION Engineering,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,3 BHARATHIDASAN SALAI,THIRUVANMIYUR CHENNAI","Erode,Tamil Nadu","Erode,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 1/2,NULL,10898F4703D644955B6978F039F9500D,FF6F8448E8ECD87A531862CE758890A7
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,9,538.25,MALE,1994,Hindu,BC(OBCM),NULL,NULL,NULL,NULL,2010,2012,NULL,NULL,2016,B.TECH.,Information Technology ,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"VALLIAMMAL MATRIC HIGHER SECONDARY SCHOOL,F-40 1ST MAIN ROAD,ANNANAGAR EAST CHENNAI","Namakkal,Tamil Nadu","Namakkal,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,BC(OBCM)_G- 2/2,NULL,2C3545562DC56DEBEF8FE9412AC470D7,6EB7DDDFF99B8AE044A412E20D24B223
THE POST OF DEPUTY COLLECTOR IN THE TAMIL NADU CIVIL SERVICE,10,537.75,MALE,1994,Hindu,SC,NULL,NULL,NULL,NULL,2009,2011,NULL,NULL,2015,B.E.,MECHANICAL ENGINEERING,MASKED FOR PRIVACY PROTECTION,MASKED FOR PRIVACY PROTECTION,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,Chennai,"CHENNAI HIGHER SECONDARY SCHOOL,731 THIRUVOTTIYUR HIGH ROAD,NEW WASHERMEN PET CHENNAI","Tiruchirapalli,Tamil Nadu","Tiruchirapalli,Tamil Nadu",NULL,NULL,NULL,NULL,SELECTED,SC_G- 1/1,NULL,9BA23A594B03F0BF4F109CA9D65607C6,E1F59AEAC251D3E57E77E0FCDDE9E571
