en,ta
TNPSC Group 1 Exam Statistics,டி.என்.பி.எஸ்.சி குரூப் 1 தேர்வு புள்ளிவிவரங்கள்
Use ,"தேர்வு விகிதம் பற்றி அறிய, 2019 குழு 1 ஆட்சேர்ப்பு "
open data,தரவை
 from the 2019 Group 1 Recruitment to learn about the selection rate,பயன்படுத்தவும்
Background information about this recruitment:,இந்த ஆட்சேர்ப்பு பற்றிய பின்னணி தகவல்:
Total vacancies: 181,மொத்த காலியிடங்கள்: 181
Reservation details: ,முன்பதிவு விவரங்கள்: மேலும் தகவலுக்கு 
click here,இங்கே கிளிக்
 for more information, செய்யவும்
Show me statistics for candidates with the following background,பின்வரும் பின்புலம் கொண்ட வேட்பாளர்களுக்கான புள்ளிவிவரங்களை எனக்குக் காண்பி
Gender,பாலினம்
Age,வயது
Highest Degree,உயர்ந்த கல்விநிலை
Native District,சொந்த மாவட்டம்
Selection Statistics,தேர்வு புள்ளிவிவரங்கள்
Overall Selection Rate,ஒட்டுமொத்த தேர்வு விகிதம்
Studied in Tamil Medium,தமிழ் வழிக் கல்வியில் படித்தவர்
Prelim Exam Scores,முதல்நிலை தேர்வு மதிப்பெண்கள்
Main Exam Scores,முதன்மை தேர்வு மதிப்பெண்கள்
Number of candidates,வேட்பாளர்களின் எண்ணிக்கை
Detailed Performance Statistics,விரிவான செயல்திறன் புள்ளிவிவரங்கள்
Click on the graph for additional information,கூடுதல் தகவலுக்கு வரைபடத்தில் கிளிக் செய்யவும்
Wrote Prelim Exam,முதல்நிலைத் தேர்வு எழுதினார்
Appeared for Main Exam,மெயின் தேர்வுக்கு வந்துள்ளார்
Selected for Post,பதவிக்கு தேர்ந்தெடுக்கப்பட்டது
Selection rate too low to estimate,மதிப்பிட முடியாத அளவுக்கு தேர்வு விகிதம் மிகக் குறைவு
